station,quarter,hour,lambda_mean,n_days
Nanhu_Financial Industrial Park,2021Q1,12,1.6111111111111112,90
Nanhu_Financial Industrial Park,2021Q1,13,1.4777777777777779,90
Nanhu_Financial Industrial Park,2021Q1,14,1.7666666666666666,90
Nanhu_Financial Industrial Park,2021Q1,15,1.6666666666666667,90
Nanhu_Financial Industrial Park,2021Q1,16,0.9777777777777777,90
Nanhu_Financial Industrial Park,2021Q1,17,0.3,90
Nanhu_Financial Industrial Park,2021Q1,18,0.022222222222222223,90
Nanhu_Financial Industrial Park,2021Q1,19,0.022222222222222223,90
Nanhu_Financial Industrial Park,2021Q1,20,0.011111111111111112,90
Nanhu_Financial Industrial Park,2021Q1,21,0.0,90
Nanhu_Financial Industrial Park,2021Q1,22,0.03333333333333333,90
Nanhu_Financial Industrial Park,2021Q1,23,0.03333333333333333,90
Nanhu_Financial Industrial Park,2021Q2,0,0.02197802197802198,91
Nanhu_Financial Industrial Park,2021Q2,1,0.0,91
Nanhu_Financial Industrial Park,2021Q2,2,0.0,91
Nanhu_Financial Industrial Park,2021Q2,3,0.0,91
Nanhu_Financial Industrial Park,2021Q2,4,0.0,91
Nanhu_Financial Industrial Park,2021Q2,5,0.0,91
Nanhu_Financial Industrial Park,2021Q2,6,0.0,91
Nanhu_Financial Industrial Park,2021Q2,7,0.08791208791208792,91
Nanhu_Financial Industrial Park,2021Q2,8,0.3076923076923077,91
Nanhu_Financial Industrial Park,2021Q2,9,1.3956043956043955,91
Nanhu_Financial Industrial Park,2021Q2,10,0.6813186813186813,91
Nanhu_Financial Industrial Park,2021Q2,11,1.3626373626373627,91
Nanhu_Financial Industrial Park,2021Q2,12,1.3736263736263736,91
Nanhu_Financial Industrial Park,2021Q2,13,1.6043956043956045,91
Nanhu_Financial Industrial Park,2021Q2,14,1.5274725274725274,91
Nanhu_Financial Industrial Park,2021Q2,15,1.5824175824175823,91
Nanhu_Financial Industrial Park,2021Q2,16,0.8681318681318682,91
Nanhu_Financial Industrial Park,2021Q2,17,0.32967032967032966,91
Nanhu_Financial Industrial Park,2021Q2,18,0.03296703296703297,91
Nanhu_Financial Industrial Park,2021Q2,19,0.01098901098901099,91
Nanhu_Financial Industrial Park,2021Q2,20,0.0,91
Nanhu_Financial Industrial Park,2021Q2,21,0.0,91
Nanhu_Financial Industrial Park,2021Q2,22,0.0,91
Nanhu_Financial Industrial Park,2021Q2,23,0.02197802197802198,91
Nanhu_Financial Industrial Park,2021Q3,0,0.0,92
Nanhu_Financial Industrial Park,2021Q3,1,0.0,92
Nanhu_Financial Industrial Park,2021Q3,2,0.0,92
Nanhu_Financial Industrial Park,2021Q3,3,0.0,92
Nanhu_Financial Industrial Park,2021Q3,4,0.0,92
Nanhu_Financial Industrial Park,2021Q3,5,0.0,92
Nanhu_Financial Industrial Park,2021Q3,6,0.05434782608695652,92
Nanhu_Financial Industrial Park,2021Q3,7,0.08695652173913043,92
Nanhu_Financial Industrial Park,2021Q3,8,0.5869565217391305,92
Nanhu_Financial Industrial Park,2021Q3,9,1.0,92
Nanhu_Financial Industrial Park,2021Q3,10,1.565217391304348,92
Nanhu_Financial Industrial Park,2021Q3,11,2.380434782608696,92
Nanhu_Financial Industrial Park,2021Q3,12,2.5434782608695654,92
Nanhu_Financial Industrial Park,2021Q3,13,2.7717391304347827,92
Nanhu_Financial Industrial Park,2021Q3,14,2.739130434782609,92
Nanhu_Financial Industrial Park,2021Q3,15,2.4565217391304346,92
